timestamp_ms,open,high,low,close,volume
1769589000000,1.9126,1.9143,1.9099,1.9114,271231.0
1769589900000,1.9114,1.9119,1.9078,1.9089,433530.0
1769590800000,1.9089,1.9105,1.9081,1.9088,313366.0
1769591700000,1.909,1.9103,1.9054,1.9099,372139.0
1769592600000,1.9097,1.9255,1.9097,1.9216,1018876.0
1769593500000,1.9218,1.932,1.9208,1.9318,982228.0
1769594400000,1.9312,1.9334,1.9276,1.9319,855321.0
1769595300000,1.9319,1.9352,1.9254,1.9254,653571.0
1769596200000,1.9254,1.9309,1.9254,1.9299,480287.0
1769597100000,1.9297,1.9301,1.9265,1.9265,265100.0
1769598000000,1.9267,1.9283,1.9237,1.9241,398966.0
1769598900000,1.9241,1.9279,1.9237,1.9275,306693.0
1769599800000,1.9275,1.9284,1.9221,1.9272,430793.0
1769600700000,1.9274,1.9417,1.9263,1.9406,1347318.0
1769601600000,1.9406,1.9414,1.9299,1.9302,1455575.0
1769602500000,1.9302,1.934,1.9289,1.9321,450301.0
1769603400000,1.9321,1.9352,1.9289,1.9305,366345.0
1769604300000,1.9303,1.9311,1.9232,1.9255,956981.0
1769605200000,1.9255,1.9327,1.9247,1.9306,654508.0
1769606100000,1.9308,1.9346,1.9267,1.9304,391405.0
1769607000000,1.9304,1.9366,1.9296,1.9356,669456.0
1769607900000,1.9354,1.9359,1.9294,1.9323,408154.0
1769608800000,1.9325,1.9325,1.9228,1.9233,501139.0
1769609700000,1.9233,1.9233,1.9162,1.9206,915334.0
1769610600000,1.9206,1.9301,1.9177,1.9209,1097009.0
1769611500000,1.9209,1.9242,1.9142,1.918,743549.0
1769612400000,1.918,1.9233,1.9028,1.9038,1547806.0
1769613300000,1.904,1.9109,1.9002,1.9073,1618769.0
1769614200000,1.9073,1.9113,1.9043,1.9101,598037.0
1769615100000,1.9101,1.9127,1.904,1.9066,594391.0
1769616000000,1.9064,1.9075,1.9022,1.9039,572796.0
1769616900000,1.9041,1.914,1.9035,1.9126,517554.0
1769617800000,1.9126,1.9145,1.9,1.9033,919975.0
1769618700000,1.9033,1.9108,1.9031,1.9068,452692.0
1769619600000,1.9068,1.9116,1.9056,1.9094,372560.0
1769620500000,1.9096,1.9106,1.9055,1.9068,352978.0
1769621400000,1.9068,1.9182,1.8994,1.9156,782775.0
1769622300000,1.9158,1.9269,1.9141,1.9204,1351252.0
1769623200000,1.9207,1.9207,1.9114,1.9194,1362098.0
