timestamp_ms,open,high,low,close,volume
1769589000000,126.963,127.024,126.666,126.73,23413.0
1769589900000,126.73,126.825,126.598,126.61,23401.0
1769590800000,126.613,126.776,126.51,126.513,21117.0
1769591700000,126.511,126.615,125.935,126.304,48746.0
1769592600000,126.33,127.491,126.33,127.236,49712.0
1769593500000,127.233,127.541,127.131,127.52,28824.0
1769594400000,127.52,127.698,127.275,127.692,32316.0
1769595300000,127.697,128.048,127.307,127.307,42904.0
1769596200000,127.307,127.633,127.307,127.426,28238.0
1769597100000,127.422,127.445,127.234,127.25,22997.0
1769598000000,127.25,127.364,127.171,127.203,22426.0
1769598900000,127.203,127.367,127.169,127.34,20175.0
1769599800000,127.34,127.522,127.119,127.515,27831.0
1769600700000,127.514,128.253,127.436,128.109,61250.0
1769601600000,128.103,128.152,127.528,127.554,39124.0
1769602500000,127.55,127.684,127.177,127.287,39189.0
1769603400000,127.287,127.388,127.066,127.171,28700.0
1769604300000,127.171,127.346,126.96,127.168,27105.0
1769605200000,127.169,127.435,127.075,127.184,35445.0
1769606100000,127.184,127.294,126.796,127.243,36612.0
1769607000000,127.243,127.787,127.088,127.621,48113.0
1769607900000,127.621,127.728,127.137,127.267,26367.0
1769608800000,127.267,127.275,126.883,126.883,25146.0
1769609700000,126.883,126.922,126.487,126.796,36576.0
1769610600000,126.796,127.249,126.478,126.701,50091.0
1769611500000,126.701,126.887,126.397,126.77,46359.0
1769612400000,126.769,127.089,125.769,125.77,63043.0
1769613300000,125.766,126.239,125.439,125.989,75922.0
1769614200000,125.988,126.222,125.699,126.138,37213.0
1769615100000,126.141,126.328,125.75,125.971,29922.0
1769616000000,125.974,126.039,125.607,125.638,29737.0
1769616900000,125.641,126.473,125.58,126.452,26603.0
1769617800000,126.452,126.583,125.502,125.738,32873.0
1769618700000,125.738,126.286,125.734,126.007,28033.0
1769619600000,126.005,126.328,125.954,126.107,22037.0
1769620500000,126.107,126.175,125.75,125.864,21259.0
1769621400000,125.868,126.499,125.178,126.284,59616.0
1769622300000,126.284,126.964,126.169,126.46,60244.0
1769623200000,126.471,126.471,125.84,126.247,44098.0
1769624100000,126.251,126.33,125.751,125.821,30523.0
1769625000000,125.825,125.976,125.675,125.854,21361.0
1769625900000,125.858,126.074,125.624,126.025,26373.0
1769626800000,126.028,126.631,125.759,125.908,66679.0
1769627700000,125.903,126.257,125.67,125.897,25478.0
1769628600000,125.897,126.163,125.25,125.423,52582.0
1769629500000,125.427,126.357,125.423,125.926,32005.0
1769630400000,125.932,126.309,125.8,126.088,26777.0
1769631300000,126.094,126.605,125.733,126.359,31967.0
1769632200000,126.359,126.4,125.682,125.71,37178.0
1769633100000,125.707,125.738,125.31,125.314,36632.0
1769634000000,125.417,125.518,124.717,125.36,79403.0
1769634900000,125.356,125.622,125.243,125.457,23743.0
1769635800000,125.46,125.584,124.966,125.546,33462.0
1769636700000,125.556,125.777,125.361,125.382,22081.0
1769637600000,125.383,125.628,125.28,125.3,23951.0
1769638500000,125.3,125.494,125.119,125.493,21711.0
1769639400000,125.493,125.763,125.491,125.715,20985.0
1769640300000,125.715,125.774,125.55,125.629,23354.0
1769641200000,125.629,125.72,125.362,125.39,28095.0
1769642100000,125.39,125.615,125.213,125.227,21092.0
1769643000000,125.227,125.327,125.002,125.137,28164.0
1769643900000,125.141,125.3,125.07,125.266,26583.0
1769644800000,125.259,125.408,125.001,125.083,23392.0
1769645700000,125.083,125.111,124.849,124.876,25067.0
1769646600000,124.906,124.98,124.573,124.615,28113.0
1769647500000,124.615,125.063,124.526,125.063,26177.0
1769648400000,125.063,125.22,124.854,124.906,22387.0
1769649300000,124.906,124.91,124.044,124.567,40322.0
1769650200000,124.567,124.717,124.438,124.619,27287.0
1769651100000,124.619,124.737,124.122,124.259,33326.0
1769652000000,124.259,124.709,124.102,124.418,28491.0
1769652900000,124.423,124.499,124.09,124.406,21697.0
1769653800000,124.406,124.41,123.165,123.595,100576.0
1769654700000,123.588,123.659,123.088,123.455,57324.0
1769655600000,123.454,123.663,123.156,123.447,29855.0
1769656500000,123.41,123.472,122.739,122.801,46686.0
1769657400000,122.8,123.125,122.61,123.125,34803.0
1769658300000,123.13,123.208,122.921,122.998,24467.0
1769659200000,123.001,123.077,122.55,122.601,24915.0
1769660100000,122.601,122.886,122.425,122.84,29595.0
1769661000000,122.841,123.181,122.84,123.181,28350.0
1769661900000,123.178,123.451,123.178,123.377,23045.0
1769662800000,123.377,123.753,123.303,123.473,36547.0
1769663700000,123.472,123.698,123.472,123.619,32508.0
1769664600000,123.614,123.75,123.501,123.521,22469.0
1769665500000,123.521,123.524,123.084,123.172,25055.0
1769666400000,123.172,123.294,123.052,123.131,20206.0
1769667300000,123.134,123.394,123.131,123.394,22310.0
1769668200000,123.39,123.658,123.39,123.6,22482.0
1769669100000,123.6,123.625,123.325,123.624,20348.0
1769670000000,123.624,123.856,123.62,123.72,21059.0
1769670900000,123.723,123.868,123.577,123.68,20798.0
1769671800000,123.678,123.898,123.626,123.847,19864.0
1769672700000,123.851,123.913,123.615,123.693,20639.0
1769673600000,123.725,123.725,123.27,123.27,25022.0
1769674500000,123.276,123.835,123.173,123.802,25389.0
1769675400000,123.796,123.797,123.209,123.297,24270.0
1769676300000,123.303,123.416,123.126,123.219,23621.0
1769677200000,123.221,123.292,123.027,123.053,20311.0
1769678100000,123.056,123.104,122.905,123.059,21664.0
1769679000000,123.065,123.289,122.987,123.171,21365.0
1769679900000,123.171,123.173,122.969,122.97,19238.0
