timestamp_ms,open,high,low,close,volume
1783413000000,1771.3,1771.72,1770.64,1770.98,29.76
1783413060000,1770.97,1770.97,1767.77,1769.76,184.02
1783413120000,1769.76,1770.24,1768.71,1769.0,43.17
1783413180000,1769.0,1769.2,1767.54,1769.19,427.13
1783413240000,1769.18,1769.33,1768.13,1768.86,326.03
1783413300000,1768.83,1769.01,1767.26,1767.43,57.14
1783413360000,1767.42,1768.64,1767.36,1768.39,231.81
1783413420000,1768.39,1769.49,1768.38,1769.45,47.96
1783413480000,1769.45,1769.85,1768.82,1769.23,51.26
1783413540000,1769.24,1769.59,1768.34,1769.54,47.02
1783413600000,1769.54,1770.54,1769.44,1770.4,51.99
1783413660000,1770.4,1770.5,1769.85,1769.9,76.1
1783413720000,1769.9,1769.91,1768.83,1768.83,20.46
1783413780000,1768.84,1768.85,1767.77,1768.26,312.44
1783413840000,1768.25,1769.71,1768.24,1769.71,41.73
1783413900000,1769.77,1770.02,1769.01,1769.01,63.71
1783413960000,1769.0,1769.52,1768.89,1769.37,44.31
1783414020000,1769.38,1769.38,1768.59,1768.9,50.79
1783414080000,1768.89,1769.11,1768.68,1768.93,26.47
1783414140000,1768.93,1770.02,1768.93,1770.01,48.89
1783414200000,1770.01,1770.01,1768.96,1769.71,70.75
1783414260000,1769.23,1770.18,1769.09,1770.15,56.37
1783414320000,1770.14,1770.24,1769.1,1769.1,32.54
1783414380000,1769.0,1769.28,1768.38,1768.49,66.15
1783414440000,1768.49,1768.81,1767.94,1768.65,86.07
1783414500000,1768.66,1769.06,1768.41,1768.54,29.32
1783414560000,1768.53,1770.24,1768.53,1770.24,126.29
1783414620000,1770.23,1771.42,1770.23,1771.2,42.97
1783414680000,1771.21,1771.46,1770.91,1771.24,32.45
1783414740000,1771.24,1771.3,1769.74,1769.74,42.98
1783414800000,1769.77,1769.77,1767.94,1768.17,89.79
1783414860000,1768.17,1769.07,1767.7,1768.66,44.0
1783414920000,1768.67,1770.41,1768.67,1769.47,89.35
