strategy_id,claim_tier,failure_fingerprint,strategy_call_count,signal_count,valid_entry_count,open_count,close_count,censored_open_at_window_end,error_count,net_R_ex_funding,expectancy_R_ex_funding,profit_factor_ex_funding,max_drawdown_R_ex_funding,win_rate_pct,net_R_including_funding_estimate,average_MFE_R,average_MAE_R,average_exposure_min
squeeze_break,LOW_SAMPLE_HOLD,POSITIVE_OOS_CANDIDATE_UNPROMOTED,212415,6,2,2,2,0,0,0.66393550033689,0.331967750168445,999.0,0.0,100.0,0.6468827701239118,1.5820209007464263,-0.7232493455579216,120.0
vwap_revert,HYPOTHESIS_ONLY,NEGATIVE_OR_UNSTABLE_OOS_EDGE,212415,137,68,68,68,0,0,-7.518351708763011,-0.11056399571710315,0.8407262914190251,19.89407833003814,41.17647058823529,-7.535068088073355,1.2494323139194219,-0.891258777555226,23.455882352941178
anchor_vwap_trend,COMPONENT_RESEARCH_REVIEW,NEGATIVE_OR_UNSTABLE_OOS_EDGE,212415,278,131,131,131,0,0,-26.56198877651119,-0.2027632731031389,0.7613014643826976,33.60381437394099,32.06106870229007,-26.656258069327016,1.453596045074273,-0.8326444210855903,31.106870229007633
grid_rebalance,INTEGRATED_RESEARCH_REVIEW,NEGATIVE_OR_UNSTABLE_OOS_EDGE,212415,4614,580,580,580,0,0,-153.0575791857026,-0.26389237790638403,0.4105478643758885,164.06592938503923,34.310344827586206,-152.92584585236932,0.5188365061986594,-0.3951539920309607,38.925862068965515
alpha_combo,INTEGRATED_RESEARCH_REVIEW,NEGATIVE_OR_UNSTABLE_OOS_EDGE,212415,1271,399,399,399,0,0,-144.88064622771387,-0.36310938904188955,0.5398154389489301,145.41084312214653,26.56641604010025,-144.9133890349573,1.0961393572511318,-0.738344415365648,40.423558897243105
vol_spike_fade,LOW_SAMPLE_HOLD,NEGATIVE_OR_UNSTABLE_OOS_EDGE,212415,26,18,18,18,0,0,-9.081428182969107,-0.5045237879427282,0.524408374346961,14.844117445733268,33.33333333333333,-9.081428182969107,1.6880812459750874,-1.0201216495290901,9.444444444444445
ema_ribbon_scalp,INTEGRATED_RESEARCH_REVIEW,NEGATIVE_OR_UNSTABLE_OOS_EDGE,212415,673,424,424,424,0,0,-221.64025206653216,-0.522736443553142,0.37223903048302376,223.24267051343227,45.28301886792453,-221.63748242701044,1.0838523517071281,-0.7900172386881968,7.8584905660377355
pivot_reversal,COMPONENT_RESEARCH_REVIEW,NEGATIVE_OR_UNSTABLE_OOS_EDGE,212415,134,128,128,128,0,0,-67.0465746497138,-0.523801364450889,0.49266509322115165,67.48288952885244,32.03125,-67.09251740812648,1.2633123603865044,-1.031081429154841,13.0625
obv_trend,HYPOTHESIS_ONLY,NEGATIVE_OR_UNSTABLE_OOS_EDGE,212415,118,48,48,48,0,0,-26.983668389393483,-0.5621597581123643,0.4352681443948658,29.93909778212221,22.916666666666664,-27.05565386665953,1.187532887971972,-1.0434867111036876,21.395833333333332
scalp_snap,COMPONENT_RESEARCH_REVIEW,NEGATIVE_OR_UNSTABLE_OOS_EDGE,212415,272,144,144,144,0,0,-81.3215906709015,-0.5647332685479273,0.2955000151153109,81.3215906709015,45.13888888888889,-81.35054414447873,0.8605485995688167,-0.7930080093392444,10.4375
liquidity_sweep,LOW_SAMPLE_HOLD,NEGATIVE_OR_UNSTABLE_OOS_EDGE,212415,8,7,7,7,0,0,-6.849621494150003,-0.9785173563071433,0.17244435053393403,8.276931585893152,14.285714285714285,-6.849621494150003,1.1679634223528066,-1.1321427711317373,11.142857142857142
turtle_trend,LOW_SAMPLE_HOLD,NEGATIVE_OR_UNSTABLE_OOS_EDGE,212415,3,1,1,1,0,0,-1.0751651479633415,-1.0751651479633415,0.0,1.0751651479633415,0.0,-1.0751651479633415,0.29063012781414826,-1.0880699773863753,78.0
trend_ma_macd,LOW_SAMPLE_HOLD,NEGATIVE_OR_UNSTABLE_OOS_EDGE,212415,1,1,1,1,0,0,-1.2184758726138984,-1.2184758726138984,0.0,1.2184758726138984,0.0,-1.2184758726138984,0.06186998113398514,-1.0570328980176473,3.0
bb_revert,ZERO_TRADES_HOLD,ZERO_TRADES_GATE_OR_NO_OPPORTUNITY,212415,0,0,0,0,0,0,0,,,0.0,,0,,,
break_and_continue,ZERO_TRADES_HOLD,ZERO_TRADES_GATE_OR_NO_OPPORTUNITY,212415,0,0,0,0,0,0,0,,,0.0,,0,,,
fvg_revert,ZERO_TRADES_HOLD,ZERO_TRADES_GATE_OR_NO_OPPORTUNITY,212415,0,0,0,0,0,0,0,,,0.0,,0,,,
keltner_trend,ZERO_TRADES_HOLD,ZERO_TRADES_GATE_OR_NO_OPPORTUNITY,212415,0,0,0,0,0,0,0,,,0.0,,0,,,
mfi_rsi_div,ZERO_TRADES_HOLD,ZERO_TRADES_GATE_OR_NO_OPPORTUNITY,212415,0,0,0,0,0,0,0,,,0.0,,0,,,
range_fade,ZERO_TRADES_HOLD,ZERO_TRADES_GATE_OR_NO_OPPORTUNITY,212415,0,0,0,0,0,0,0,,,0.0,,0,,,
rbreaker_like,ZERO_TRADES_HOLD,ZERO_TRADES_GATE_OR_NO_OPPORTUNITY,212415,0,0,0,0,0,0,0,,,0.0,,0,,,
rsi_swing_fail,ZERO_TRADES_HOLD,ZERO_TRADES_GATE_OR_NO_OPPORTUNITY,212415,0,0,0,0,0,0,0,,,0.0,,0,,,
session_bias,ZERO_TRADES_HOLD,ZERO_TRADES_GATE_OR_NO_OPPORTUNITY,212415,0,0,0,0,0,0,0,,,0.0,,0,,,
